City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Kuopio,FI,2021-09-19 03:05:48,62.8924,27.677,39.15,93,75,3.44
153,Olga,RU,2021-09-19 03:05:49,43.7444,135.2892,72.36,39,74,3.04
154,Matara,LK,2021-09-19 03:05:49,5.9485,80.5353,83.79,73,100,6.4
155,Cayenne,GF,2021-09-19 03:05:49,4.9333,-52.3333,83.08,80,40,1.01
156,Saint-Pierre,RE,2021-09-19 03:05:49,-21.3393,55.4781,67.64,89,90,6.91
157,Quelimane,MZ,2021-09-19 03:05:50,-17.8786,36.8883,71.53,58,86,9.04
158,Ritchie,ZA,2021-09-19 03:05:50,-29.038,24.6028,59.77,52,13,17.96
159,Thompson,CA,2021-09-19 03:04:20,55.7435,-97.8558,55.24,62,100,7.09
160,Arica,CL,2021-09-19 03:05:50,-18.475,-70.3042,59.23,77,90,4.61
161,Riverton,US,2021-09-19 03:05:51,40.5219,-111.9391,74.3,53,1,5.99
162,Sur,OM,2021-09-19 03:05:51,22.5667,59.5289,82.33,69,5,9.4
163,Salalah,OM,2021-09-19 03:05:51,17.0151,54.0924,80.69,94,75,4.61
164,Kruisfontein,ZA,2021-09-19 03:05:51,-34.0033,24.7314,49.89,76,3,3.47
165,Fare,PF,2021-09-19 03:05:52,-16.7,-151.0167,77.85,76,4,17.72
166,Georgetown,MY,2021-09-19 03:05:52,5.4112,100.3354,82.89,80,20,8.05
167,Male,MV,2021-09-19 03:05:52,4.1748,73.5089,85.95,79,75,6.91
168,Marsh Harbour,BS,2021-09-19 03:05:30,26.5412,-77.0636,82.74,69,17,6.55
169,Saint-Michel-Des-Saints,CA,2021-09-19 03:02:01,46.6834,-73.9159,44.78,86,6,4.63
170,San Patricio,US,2021-09-19 03:05:53,28.017,-97.5169,84.29,68,0,6.64
171,Hilo,US,2021-09-19 03:05:53,19.7297,-155.09,78.28,84,21,1.01
172,Sioux Lookout,CA,2021-09-19 03:05:53,50.1001,-91.917,58.8,57,7,12.39
173,Vostok,RU,2021-09-19 03:05:54,46.4856,135.8833,52.18,43,95,8.43
174,Bulgan,MN,2021-09-19 03:05:54,48.8125,103.5347,59.83,65,43,3.36
175,Campoverde,PE,2021-09-19 03:05:54,-8.4753,-74.8058,77.63,59,0,0.6
176,Upernavik,GL,2021-09-19 03:05:55,72.7868,-56.1549,20.61,62,17,5.64
177,San Cristobal,VE,2021-09-19 03:05:55,7.7669,-72.225,66.78,97,100,3.31
178,Bissau,GW,2021-09-19 03:03:06,11.8636,-15.5977,78.31,83,100,7.05
179,Henties Bay,NA,2021-09-19 03:05:55,-22.116,14.2845,50.86,93,0,5.84
180,Elliot Lake,CA,2021-09-19 03:05:55,46.3834,-82.6331,48.85,72,81,1.99
181,Ankazoabo,MG,2021-09-19 03:05:56,-22.2833,44.5167,55.31,63,56,13.65
182,Awbari,LY,2021-09-19 03:05:56,26.5921,12.7805,75.79,22,0,9.33
183,Dhidhdhoo,MV,2021-09-19 03:05:56,6.8833,73.1,82.27,78,55,8.81
184,Tieling,CN,2021-09-19 03:05:56,42.2931,123.8414,76.17,53,100,5.3
185,Kloulklubed,PW,2021-09-19 03:05:57,7.0419,134.2556,86.5,79,100,21.54
186,Iqaluit,CA,2021-09-19 03:05:57,63.7506,-68.5145,33.53,93,75,4.61
187,Victoria,HK,2021-09-19 03:01:43,22.2855,114.1577,90.97,80,58,1.01
188,Lockhart,US,2021-09-19 03:05:58,28.6194,-81.4426,78.78,77,75,0.0
189,Rawson,AR,2021-09-19 03:05:58,-43.3002,-65.1023,51.78,51,7,5.41
